sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,cultivo,estado
165.5,165.5,0.0,64.55,16.963404999999998,-92.618395,1463.0,0,0,1,0,1,0,1,0,0,0,2,0.39,Frijol,Chiapas
64.5,64.5,0.0,218.35,22.354259,-102.883726,1899.0,0,0,1,1,0,0,0,1,0,0,5,3.39,Maíz grano,Zacatecas
120.0,120.0,0.0,3269.0,22.354259,-102.883726,1899.0,0,1,0,0,1,0,0,0,1,0,3,27.24,Pastos y praderas,Zacatecas
251.0,251.0,0.0,2595.34,19.778769,-98.709587,2447.0,0,0,1,0,1,1,0,0,0,0,0,10.34,Avena forrajera en verde,México
100.0,100.0,0.0,161.0,20.094768,-97.939626,1512.0,1,0,0,0,1,0,0,1,0,0,1,1.61,Maíz grano,Puebla
150.0,150.0,0.0,65.5,18.188768,-97.68054,1700.0,0,0,1,0,1,0,1,0,0,0,2,0.44,Frijol,Oaxaca
151.4,151.4,0.0,184.0,16.915356,-97.966546,431.0,0,0,1,1,0,0,0,1,0,0,5,1.22,Maíz grano,Oaxaca
38.0,38.0,0.0,36.86,20.9275,-103.023889,1786.0,0,0,1,0,1,0,1,0,0,0,2,0.97,Frijol,Jalisco
484.0,484.0,0.0,3175.9,20.602225,-88.264438,23.0,0,1,0,0,1,0,0,0,1,0,3,6.56,Pastos y praderas,Yucatán
20.0,20.0,0.0,55.12,19.883611,-103.597222,1360.0,0,0,1,1,0,0,1,0,0,0,2,2.76,Frijol,Jalisco
68.33,68.33,0.0,1662.47,23.200316,-106.422221,10.0,0,1,0,1,0,0,0,0,1,0,3,24.33,Pastos y praderas,Sinaloa
64.0,64.0,0.0,176.64,16.334433999999998,-97.836026,280.0,1,0,0,1,0,0,0,1,0,0,5,2.76,Maíz grano,Oaxaca
90.0,90.0,0.0,61.04,19.797123000000006,-99.100634,2261.0,0,0,1,0,1,0,1,0,0,0,2,0.68,Frijol,México
58.0,58.0,0.0,1537.0,27.311215,-102.397405,1108.0,1,0,0,1,0,1,0,0,0,0,0,26.5,Avena forrajera en verde,Coahuila
4.5,4.5,0.0,129.83,17.277367,-96.884496,1684.0,1,0,0,1,0,0,0,0,0,1,4,28.85,Tomate rojo (jitomate),Oaxaca
60.0,60.0,0.0,177.6,16.450803,-98.285716,79.0,1,0,0,1,0,0,0,1,0,0,5,2.96,Maíz grano,Oaxaca
148.0,148.0,0.0,190.92,18.072141,-94.411176,5.0,0,0,1,0,1,0,0,1,0,0,6,1.29,Maíz grano,Veracruz
25.0,25.0,0.0,53.5,21.018681,-101.858518,1752.0,0,0,1,1,0,0,1,0,0,0,2,2.14,Frijol,Guanajuato
1.2,1.2,0.0,90.0,17.26747,-97.680492,2064.0,0,0,1,1,0,0,0,0,0,1,4,75.0,Tomate rojo (jitomate),Oaxaca
204.0,204.0,0.0,171.36,21.620177,-98.902848,217.0,1,0,0,0,1,0,0,1,0,0,1,0.84,Maíz grano,San Luis Potosí
37.89,37.89,0.0,160.27,17.660802,-99.677341,1124.0,1,0,0,1,0,0,0,1,0,0,5,4.23,Maíz grano,Guerrero
35.0,35.0,0.0,204.75,21.983056,-103.596667,1764.0,0,0,1,1,0,0,0,1,0,0,5,5.85,Maíz grano,Jalisco
570.0,128.0,442.0,59.34,21.803124,-100.932486,1814.0,0,0,1,0,1,0,1,0,0,0,2,0.46,Frijol,San Luis Potosí
31.0,31.0,0.0,1377.95,20.381389,-102.924167,1524.0,0,1,0,1,0,0,0,0,1,0,3,44.45,Pastos y praderas,Jalisco
77.0,77.0,0.0,1404.48,25.912021,-105.223791,1852.0,1,0,0,1,0,1,0,0,0,0,0,18.24,Avena forrajera en verde,Durango
47.0,47.0,0.0,239.7,19.648886,-97.223025,2398.0,0,0,1,1,0,0,0,1,0,0,5,5.1,Maíz grano,Veracruz
55.0,55.0,0.0,1032.35,19.315129,-98.267233,2241.0,0,0,1,1,0,1,0,0,0,0,0,18.77,Avena forrajera en verde,Tlaxcala
226.0,226.0,0.0,162.6,20.872096,-88.988792,19.0,0,0,1,0,1,0,0,1,0,0,6,0.72,Maíz grano,Yucatán
95.0,95.0,0.0,54.39,15.456367000000002,-92.27964,2839.0,0,0,1,0,1,0,1,0,0,0,2,0.57,Frijol,Chiapas
485.0,485.0,0.0,3151.0,20.470556,-89.08094399999997,21.0,0,1,0,0,1,0,0,0,1,0,3,6.5,Pastos y praderas,Yucatán
43.6,43.6,0.0,69.76,18.767087,-98.982142,1220.0,0,0,1,1,0,0,1,0,0,0,2,1.6,Frijol,Morelos
1.0,1.0,0.0,85.0,24.294446,-103.451449,1963.0,0,0,1,1,0,0,0,0,0,1,4,85.0,Tomate rojo (jitomate),Zacatecas
0.2,0.2,0.0,79.0,19.833622,-99.204138,2255.0,0,0,1,1,0,0,0,0,0,1,4,395.0,Tomate rojo (jitomate),México
1.2,1.2,0.0,101.0,17.827661,-98.150788,1075.0,0,0,1,1,0,0,0,0,0,1,4,84.17,Tomate rojo (jitomate),Oaxaca
1.5,1.5,0.0,123.0,21.14264,-100.318949,2120.0,1,0,0,1,0,0,0,0,0,1,4,82.0,Tomate rojo (jitomate),Guanajuato
195.0,195.0,0.0,189.15,16.967160999999994,-96.706736,1516.0,0,0,1,0,1,0,0,1,0,0,6,0.97,Maíz grano,Oaxaca
43.0,43.0,0.0,167.7,18.937073,-103.964997,20.0,1,0,0,1,0,0,0,1,0,0,5,3.9,Maíz grano,Colima
150.0,150.0,0.0,202.5,20.014008,-97.624086,810.0,0,0,1,0,1,0,0,1,0,0,6,1.35,Maíz grano,Puebla
65.0,65.0,0.0,1644.5,22.117222,-103.264722,1666.0,0,1,0,1,0,0,0,0,1,0,3,25.3,Pastos y praderas,Jalisco
233.0,213.0,20.0,185.0,17.347804999999994,-97.558379,2100.0,0,0,1,0,1,0,0,1,0,0,6,0.87,Maíz grano,Oaxaca
117.0,117.0,0.0,2000.7,20.03547,-98.309738,2242.0,1,0,0,1,0,1,0,0,0,0,0,17.1,Avena forrajera en verde,Hidalgo
195.0,195.0,0.0,3315.0,21.671126,-103.327625,1703.0,0,1,0,0,1,0,0,0,1,0,3,17.0,Pastos y praderas,Zacatecas
126.0,126.0,0.0,176.4,15.987631,-95.675866,19.0,0,0,1,0,1,0,0,1,0,0,6,1.4,Maíz grano,Oaxaca
73.0,73.0,0.0,62.05,16.016609,-96.616764,1857.0,0,0,1,0,1,0,1,0,0,0,2,0.85,Frijol,Oaxaca
215.0,215.0,0.0,214.0,17.532857999999994,-98.278376,1311.0,0,0,1,0,1,0,0,1,0,0,6,1.0,Maíz grano,Oaxaca
43.0,43.0,0.0,207.26,19.699854,-98.757694,2358.0,0,0,1,1,0,0,0,1,0,0,5,4.82,Maíz grano,México
